sample,BTG3,CD69,CXCR1,CXCR2,FCGR3A,JUN,STEAP4,groups
33 EDTA val T48,1.87333333333333,1.37333333333333,2.24333333333333,4.63333333333333,1.15333333333333,-2.81666666666667,4.33333333333333,0
34 EDTA val T48,2.02333333333333,1.70333333333333,1.98333333333333,4.11333333333333,0.223333333333334,-3.21666666666667,3.82333333333333,0
35 EDTA val T48,2.20333333333333,1.67333333333333,1.89333333333333,3.89333333333333,-0.856666666666667,-3.59666666666667,3.05333333333333,0
36 EDTA val T48,0.973333333333333,0.823333333333333,2.49333333333333,4.26333333333333,1.13333333333333,-3.88666666666667,3.62333333333333,0
37 EDTA val T48,1.83,1.29,2.59,4.85,2.12,-3.48,5.06,0
38 EDTA val T48,1.63,1.22,1.09,3.17,0.0500000000000008,-3.19,2.8,0
39 EDTA val T48,1.95666666666667,1.77666666666667,2.61666666666667,4.78666666666667,1.35666666666667,-3.05333333333334,5.35666666666667,0
40 EDTA val T48,2.02,1.7,1.3,3.47,-0.170000000000001,-3.49,2.5,0
8759 EDTA val T48,0.846666666666668,-0.203333333333332,2.56666666666667,3.22666666666667,-0.183333333333332,-4.40333333333333,2.62666666666667,0
8760 EDTA val T48,1.43,0.1,2.86,3.25,-0.359999999999999,-4.1,3.89,0
8761 EDTA val T48,0.639999999999999,0.0899999999999995,2.83,3.59,-0.110000000000001,-3.75,2.86,0
8762 EDTA val T48,1.44,-0.0299999999999989,2.88,3.82,-0.109999999999999,-4.34,2.84,0
8764 EDTA val T48,1.70666666666667,0.526666666666666,2.28666666666667,2.96666666666667,-0.643333333333334,-3.60333333333333,2.43666666666667,0
8765 EDTA val T48,2.06,0.680000000000001,1.65,2.68,-1.04,-3.86,1.12,0
8766 EDTA val T48,2.0,0.69,1.74,2.06,-2.33,-4.11,1.88,0
8767 EDTA val T48,1.17,0.37,2.95,3.64,-0.86,-3.59,2.7,0
8819 EDTA val T48,1.25666666666667,0.136666666666668,1.97666666666667,2.79666666666667,-1.31333333333333,-3.74333333333333,2.47666666666667,0
8820 EDTA val T48,1.50666666666667,0.396666666666667,2.27666666666667,2.53666666666667,-0.413333333333333,-4.51333333333333,2.86666666666667,0
8821 EDTA val T48,0.693333333333333,-0.806666666666667,1.25333333333333,2.01333333333333,-2.22666666666667,-3.75666666666667,0.773333333333334,0
8822 EDTA val T48,1.47333333333333,0.533333333333334,1.40333333333333,2.15333333333333,-0.936666666666666,-4.07666666666667,1.10333333333333,0
8827 EDTA val T48,1.49333333333333,0.493333333333334,2.36333333333333,3.67333333333333,-0.166666666666666,-4.17666666666667,2.18333333333333,0
8828 EDTA val T48,2.03,0.54,2.38,3.89,-0.82,-3.81,2.49,0
8829 EDTA val T48,1.44666666666667,-0.313333333333335,2.32666666666667,3.95666666666667,0.0866666666666654,-4.17333333333333,2.39666666666667,0
8830 EDTA val T48,1.81333333333333,1.10333333333333,3.10333333333333,4.35333333333333,0.0833333333333336,-3.19666666666667,2.63333333333333,0
8831 EDTA val T48,1.39,-0.00999999999999972,2.17,3.55,-0.0599999999999997,-2.52,2.36,0
8832 EDTA val T48,1.57666666666667,0.256666666666666,3.35666666666667,5.14666666666667,0.966666666666666,-2.94333333333333,3.91666666666667,0
8833 EDTA val T48,1.85,0.650000000000001,2.4,4.25,0.280000000000001,-2.32,2.99,0
8834 EDTA val T48,1.08666666666667,0.266666666666666,3.25666666666667,4.82666666666667,0.676666666666667,-3.71333333333333,3.65666666666667,0
1_EDTA pre T72,2.08666666666667,2.38666666666667,6.72666666666667,8.15666666666667,4.61666666666667,-1.04333333333333,8.35666666666667,0
2_EDTA pre T72,1.77666666666667,3.50666666666667,6.80666666666667,9.01666666666667,5.75666666666667,-1.51333333333333,9.12666666666667,0
3_EDTA pre T72,2.91,3.35,5.09,7.16,3.17,-0.900000000000001,7.11,0
4_EDTA pre T72,1.95333333333333,4.19333333333333,7.46333333333333,8.83333333333333,4.99333333333333,-1.91666666666667,8.95333333333333,0
5_EDTA pre T72,2.50666666666667,2.64666666666667,3.66666666666667,3.70666666666667,1.14666666666667,-0.403333333333334,4.49666666666667,0
6_EDTA pre T72,2.46,3.02,4.78,5.97,3.61,-0.71,6.99,0
7_EDTA pre T72,2.52666666666667,3.10666666666667,3.79666666666667,3.98666666666667,1.77666666666667,-0.353333333333333,5.30666666666667,0
